TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP	pl_PL
90	JailBreakPoliceStation	越狱	▢FF5CFEFE警察局大厅的两侧有快速增援传送通道	▢FF5CFEFEThere are Portals on both sides of the police station hall	▢FF5CFEFESão portais em ambos os lados do corredor da delegacia de polícia	▢FF5CFEFEМожно найти порталы по обе стороны зала полийской станции	▢FF5CFEFEThere are Portals on both sides of the police station hall	▢FF5CFEFEThere are Portals on both sides of the police station hall	▢FF5CFEFEThere are Portals on both sides of the police station hall	▢FF5CFEFEThere are Portals on both sides of the police station hall	▢FF5CFEFEThere are Portals on both sides of the police station hall	▢FF5CFEFETerdapat portal-portal di kedua sisi ruang kantor polisi	▢FF5CFEFEสองข้างของห้องโถงของสถาณีตำรวจมีทางสัญจรรับส่งเพื่อเพิ่มการสนับสนุนโดยรวดเร็ว	▢FF5CFEFEThere are Portals on both sides of the police station hall	▢FF5CFEFEThere are Portals on both sides of the police station hall	▢FF5CFEFE警察署のホールの両側には、高速の増援送信チャンネルがあります.	▢FF5CFEFJest tu portale po obu stronach sali komisariatu policji
91	JailBreakJail		▢FF5CFEFE监狱东北角和东南角可能存在越狱漏洞	▢FF5CFEFEThere may be Weak Points  in the northeast and southeast corners of the prison	▢FF5CFEFEPode ser pontos fracos nos cantos nordeste e sudeste da prisão	▢FF5CFEFEВ северо-восточном и юго-восточном углах тюрьмы могут быть слабые места	▢FF5CFEFEThere may be Weak Points  in the northeast and southeast corners of the prison	▢FF5CFEFEThere may be Weak Points  in the northeast and southeast corners of the prison	▢FF5CFEFEThere may be Weak Points  in the northeast and southeast corners of the prison	▢FF5CFEFEThere may be Weak Points  in the northeast and southeast corners of the prison	▢FF5CFEFEThere may be Weak Points  in the northeast and southeast corners of the prison	▢FF5CFEFETerdapat beberapa Titik Lemah di paling utara dan selatan ujung di penjara.	▢FF5CFEFEมุมตะวันออกเฉียงเหนือและมุมตะวันออกเฉียงใต้ของคุุกขังอาจจะมีทางแหกคุก	▢FF5CFEFEThere may be Weak Points  in the northeast and southeast corners of the prison	▢FF5CFEFEThere may be Weak Points  in the northeast and southeast corners of the prison	▢FF5CFEFE刑務所の北東と南東の角に脱獄の輪があるかもしれません.	▢FF5CFEFNie mogą być słabe punkty w północno-wschodnich i południowo-wschodnich narożnikach więzienia
92	JailBreakBank		▢FF5CFEFE银行每隔5分钟补充一次金库	▢FF5CFEFEThe BANK refills it’s vault every 5 minutes	▢FF5CFEFEO BANCO reabastece cofre a cada 5 minutos	▢FF5CFEFEХранилище банка пополняется каждые 5 минут	▢FF5CFEFEThe BANK refills it’s vault every 5 minutes	▢FF5CFEFEThe BANK refills it’s vault every 5 minutes	▢FF5CFEFEThe BANK refills it’s vault every 5 minutes	▢FF5CFEFEThe BANK refills it’s vault every 5 minutes	▢FF5CFEFEThe BANK refills it’s vault every 5 minutes	▢FF5CFEFEBANK mengisi ulang isinya setiap 5 menit	▢FF5CFEFEธนาคารจะเติมคลังทองทุกๆ5นาที	▢FF5CFEFEThe BANK refills it’s vault every 5 minutes	▢FF5CFEFEThe BANK refills it’s vault every 5 minutes	▢FF5CFEFE銀行は5分ごとに金庫室に補充します.	▢FF5CFEFBANK uzupełnia go w skarbcu co 5 minut
93	JailBreakHospital		▢FF5CFEFE医院的箱子里有一些有用的药水	▢FF5CFEFEThere are some useful potions in the hospital's box	▢FF5CFEFEAlgumas poções úteis na caixa do hospital	▢FF5CFEFEВ ящике больницы есть несколько полезных зелий	▢FF5CFEFEThere are some useful potions in the hospital's box	▢FF5CFEFEThere are some useful potions in the hospital's box	▢FF5CFEFEThere are some useful potions in the hospital's box	▢FF5CFEFEThere are some useful potions in the hospital's box	▢FF5CFEFEThere are some useful potions in the hospital's box	▢FF5CFEFETerdapat beberapa ramuan yang berguna di box-box rumah sakit.	▢FF5CFEFEในกล่องของโรงพยาบาลมีน้ำยาบางอย่างที่ใช้ได้	▢FF5CFEFEThere are some useful potions in the hospital's box	▢FF5CFEFEThere are some useful potions in the hospital's box	▢FF5CFEFE病院の箱には便利な薬がいくつかあります.	▢FF5CFEFJest kilka przydatnych mikstur w pudełku szpitalnym
94	JailBreakEnterLocation		▢FF5CFEFE小提示:%1s	▢FF00FFFFTips:%1s	▢FF00FFFFDicas:%1s	▢FF00FFFFПодсказки:%1s	▢FF00FFFFTips:%1s	▢FF00FFFFTips:%1s	▢FF00FFFFTips:%1s	▢FF00FFFFTips:%1s	▢FF00FFFFTips:%1s	▢FF00FFFFTips:%1s	▢FF5CFEFEเตือน:%1s	▢FF00FFFFTips:%1s	▢FF00FFFFTips:%1s	▢FF5CFEFEヒント:%1s	▢FF00FFFFTips:%1s
95	JailBreakQuitLocation		你离开了%1s	You left the %1s	Você saiu do%1s	Вы покинули %1s	You left the %1s	You left the %1s	You left the %1s	You left the %1s	You left the %1s	Anda meninggalkan %1s	คุณออกไปแล้ว%1s	You left the %1s	You left the %1s	あなたは%1sを去りました	Opuściłeś %1s
96	JailBreakShowPoliceInfo		▢FF48A7FF功勋值: %1s	▢FF0000FFMerit : %1s	▢FF0000FFMérito:%1s	▢FF0000FFЗаслуга : %1s	▢FF0000FFMerit : %1s	▢FF0000FFMerit : %1s	▢FF0000FFMerit : %1s	▢FF0000FFMerit : %1s	▢FF0000FFMerit : %1s	▢FF0000FFKehormatan : %1s	▢FF0000FFค่าคุณูปการ: %1s	▢FF0000FFMerit : %1s	▢FF0000FFMerit : %1s	▢FF48A7FFメリット:%1s	▢FF0000FFZasługa:%1s
97	JailBreakShowCriminalInfo		▢FFFF7878威胁值: %1s	▢FFFF0000Threat : %1s	▢FFFF0000A ameaça ▢:%1s	▢FFFF0000Разыскиваемость : %1s	▢FFFF0000Threat : %1s	▢FFFF0000Threat : %1s	▢FFFF0000Threat : %1s	▢FFFF0000Threat : %1s	▢FFFF0000Threat : %1s	▢FFFF0000Ancaman : %1s	▢FFFF0000ค่าคุกคาม: %1s	▢FFFF0000Threat : %1s	▢FFFF0000Threat : %1s	▢FFFF7878脅威値:%1s	▢FFFF0000Zagrożenie:%1s
98	JailBreakGameName	越狱	越狱	Jail Break	Jail Break	Jail Break	Jail Break	Jail Break	Jail Break	Jail Break	Jail Break	Jail Break	Jail Break	Jail Break	Jail Break	Jail Break	Jail Break
99	JailBreakOpenCheck		▢FFFF7878警报！%1s被抢劫了，请迅速出警！	▢FFFF7878Warning！A criminal case occurred in %1s	▢FFFF7878Cuidado！ Um caso criminal ocorreu em%1s	▢FFFF7878Внимание!Была обнаружена криминальная деятельность в %1s	▢FFFF7878Warning！A criminal case occurred in %1s	▢FFFF7878Warning！A criminal case occurred in %1s	▢FFFF7878Warning！A criminal case occurred in %1s	▢FFFF7878Warning！A criminal case occurred in %1s	▢FFFF7878Warning！A criminal case occurred in %1s	▢FFFF7878Warning!Sebuah kasus kriminal terjadi di %1s	▢FFFF7878แจ้งตำรวจ!%1sถูกปล้นแล้ว，โปรดรีบส่งตำรวจมา!	▢FFFF7878Warning！A criminal case occurred in %1s	▢FFFF7878Warning！A criminal case occurred in %1s	▢FFFF7878アラーム! %1sが奪われました.すぐに出かけてください!	▢FFFF7878Ostrzeżenie！ Sprawa karna miała miejsce w%1s
100	JailBreakCaptureCriminal		%1s▢FFFFFFFF被逮捕了	%1s▢FFFFFFFFwas under arrest	%1s▢FFFFFFFF estava preso	%1s▢FFFFFFFFбыл арестован	%1s▢FFFFFFFFwas under arrest	%1s▢FFFFFFFFwas under arrest	%1s▢FFFFFFFFwas under arrest	%1s▢FFFFFFFFwas under arrest	%1s▢FFFFFFFFwas under arrest	%1s▢FFFFFFFFtelah tertangkap	%1s▢FFFFFFFFถูกจับแล้ว	%1s▢FFFFFFFFwas under arrest	%1s▢FFFFFFFFwas under arrest	%1s▢FFFFFFFFは逮捕されました	%1s▢FFFFFFFF był aresztowany
101	JailBreakKillCriminal		%1s▢FFFFFFFF被击毙了	%1s▢FFFFFFFFwas shot to death	%1s▢FFFFFFFF foi morto a tiros	%1s▢FFFFFFFFбыл застрелен	%1s▢FFFFFFFFwas shot to death	%1s▢FFFFFFFFwas shot to death	%1s▢FFFFFFFFwas shot to death	%1s▢FFFFFFFFwas shot to death	%1s▢FFFFFFFFwas shot to death	%1s▢FFFFFFFFtelah tertembak mati	%1s▢FFFFFFFFถูกยิงตายแล้ว	%1s▢FFFFFFFFwas shot to death	%1s▢FFFFFFFFwas shot to death	%1s▢FFFFFFFFは殺されました	%1s▢FFFFFFFF został zastrzelony
102	JailBreakKillPolice		%1s▢FFFFFFFF因公殉职	%1s▢FFFFFFFFdies while on duty	%1s▢FFFFFFFF morto enquanto estava em serviço	%1s▢FFFFFFFFпогиб исполняя долг	%1s▢FFFFFFFFdies while on duty	%1s▢FFFFFFFFdies while on duty	%1s▢FFFFFFFFdies while on duty	%1s▢FFFFFFFFdies while on duty	%1s▢FFFFFFFFdies while on duty	%1s▢FFFFFFFFmati saat sedang bertugas	%1s▢FFFFFFFFเสียสละชีวิตด้วยงานสาธารณะ	%1s▢FFFFFFFFdies while on duty	%1s▢FFFFFFFFdies while on duty	%1s▢FFFFFFFF失敗	%1s▢FFFFFFFFdies podczas służby
100	JailBreakCaptureCriminal		▢FFFF7878%1s▢FFFEFE49被▢FF48A7FF%2s▢FFFEFE49逮捕了	%1s▢FFFFFFFF was arrested by %2s	%1s▢FFFFFFFF foi preso por%2s	%1s▢FFFFFFFF был арестован %2s	%1s▢FFFFFFFF was arrested by %2s	%1s▢FFFFFFFF was arrested by %2s	%1s▢FFFFFFFF was arrested by %2s	%1s▢FFFFFFFF was arrested by %2s	%1s▢FFFFFFFF was arrested by %2s	%1s▢FFFFFFFF telah tertangkap oleh %2s	%1s▢FFFFFFFFถูก▢FF48A7FF%2s▢FFFEFE49จับแล้ว	%1s▢FFFFFFFF was arrested by %2s	%1s▢FFFFFFFF was arrested by %2s	▢FFFF7878%1s▢FFFEFE49はbyFF48A7FF%2s▢FFFEFE49に逮捕されました	%1s▢FFFFFFFF został zatrzymany przez%2s
101	JailBreakKillCriminal		▢FFFF7878%1s▢FFFEFE49被▢FF48A7FF%2s▢FFFEFE49击毙了	%1s▢FFFFFFFF was shot dead by %2s	%1s▢FFFFFFFF foi morto a tiros por%2s	%1s▢FFFFFFFF был застрелен до смерти %2s	%1s▢FFFFFFFF was shot dead by %2s	%1s▢FFFFFFFF was shot dead by %2s	%1s▢FFFFFFFF was shot dead by %2s	%1s▢FFFFFFFF was shot dead by %2s	%1s▢FFFFFFFF was shot dead by %2s	%1s▢FFFFFFFF telah tertembak mati oleh %2s	%1s▢FFFFFFFFถูก▢FF48A7FF%2s▢FFFEFE49ยิงตายแล้ว	%1s▢FFFFFFFF was shot dead by %2s	%1s▢FFFFFFFF was shot dead by %2s	▢FFFF7878%1s▢FFFEFE49は▢FF48A7FFによって殺されました%2s▢FFFEFE49	%1s▢FFFFFFFF został zastrzelony przez%2s
102	JailBreakKillPolice		▢FF48A7FF%1s▢FFFEFE49在抓捕▢FFFF7878%2s▢FFFEFE49时因公殉职	%1s▢FFFFFFFF was killed on duty during the apprehension of %2s	%1s▢FFFFFFFF foi morto em serviço durante a apreensão de%2s	%1s▢FFFFFFFF был убит на работе во время задержания %2s	%1s▢FFFFFFFF was killed on duty during the apprehension of %2s	%1s▢FFFFFFFF was killed on duty during the apprehension of %2s	%1s▢FFFFFFFF was killed on duty during the apprehension of %2s	%1s▢FFFFFFFF was killed on duty during the apprehension of %2s	%1s▢FFFFFFFF was killed on duty during the apprehension of %2s	%1s▢FFFFFFFF telah terbunuh saat bertugas saat ketakutan oleh %2s	%1s▢FFFFFFFFกำลังจับอยู่▢FFFF7878%2s▢FFFEFE49เสียสละชีวิตด้วยงานสาธารณะเมื่อ	%1s▢FFFFFFFF was killed on duty during the apprehension of %2s	%1s▢FFFFFFFF was killed on duty during the apprehension of %2s	▢FF48A7FF%1s▢FFFEFE49は抓FFFF7878%2s▢FFFEFE49で逮捕されました	%1s▢FFFFFFFF zginął na służbie podczas zatrzymania%2s
103	JailBreakOpenDoor		▢FFFF7878警报！%1s被抢劫了，请迅速出警！	▢FFFF7878Warning！%1s was robbed by criminal	▢FFFF7878A atenção！%1s foi roubado por criminosos	▢FFFF7878Внимание!%1s было ограблено преступником	▢FFFF7878Warning！%1s was robbed by criminal	▢FFFF7878Warning！%1s was robbed by criminal	▢FFFF7878Warning！%1s was robbed by criminal	▢FFFF7878Warning！%1s was robbed by criminal	▢FFFF7878Warning！%1s was robbed by criminal	▢FFFF7878Bahaya!%1s telah terampok oleh kriminal	▢FFFF7878แจ้งตำรวจ!%1sถูกปล้นแล้ว，โปรดรีบส่งตำรวจมา!	▢FFFF7878Warning！%1s was robbed by criminal	▢FFFF7878Warning！%1s was robbed by criminal	▢FFFF7878アラーム! %1sが奪われました.すぐに出かけてください!	▢FFFF7878Ostrzeżenie！%1s zostało okradzione przez przestępcę
104	JailBreakBankChest		银行保险柜	Bank Chest	Baú do banco	Хранилище Банка	Bank Chest	Bank Chest	Bank Chest	Bank Chest	Bank Chest	Peti Bank	ตู้เซฟธนาคาร	Bank Chest	Bank Chest	銀行金庫	Skrzynia banku
105	JailBreakJewelryChest		商场保险柜	Great Mall Chest	Baú do Grande Shopping	Хранилище Торгового Центра	Great Mall Chest	Great Mall Chest	Great Mall Chest	Great Mall Chest	Great Mall Chest	Peti Mall Besar	ตู้เซฟห้างสรรพสินค้า	Great Mall Chest	Great Mall Chest	モールセーフ	Skrzynia Great Mall
106	JailBreakHospitalChest		医院保险柜	Hospital Chest	Baú do hospital	Ящик Больницы	Hospital Chest	Hospital Chest	Hospital Chest	Hospital Chest	Hospital Chest	Peti Rumah Sakit	ตู้เซฟโรงพยาบาล	Hospital Chest	Hospital Chest	病院の金庫	Skrzynia Szpitala
107	JailBreakBreadChest_C		废弃巨宅保险柜	Abandoned Mansion Chest	Baú da Mansão Abandonada	Ящик Заброшенного Особняка	Abandoned Mansion Chest	Abandoned Mansion Chest	Abandoned Mansion Chest	Abandoned Mansion Chest	Abandoned Mansion Chest	Peti Rumah Terabaikan	ตู้เซฟเรือนเก่าที่เลิกใช้	Abandoned Mansion Chest	Abandoned Mansion Chest	放棄された邸宅金庫	Opuszczona skrzynia rezydencji
108	A-District		▢FF5CFEFE废弃巨宅的箱子每隔5分钟刷新	▢FF5CFEFEChests in the Mansion refills every 5 minutes	▢FF5CFEFEBaús na Mansão recargas a cada 5 minutos	▢FF5CFEFEСундуки в Особняке пополняются каждые 5 минут	▢FF5CFEFEChests in the Mansion refills every 5 minutes	▢FF5CFEFEChests in the Mansion refills every 5 minutes	▢FF5CFEFEChests in the Mansion refills every 5 minutes	▢FF5CFEFEChests in the Mansion refills every 5 minutes	▢FF5CFEFEChests in the Mansion refills every 5 minutes	▢FF5CFEFEPeti-peti di Rumah mengisi kembali setiap 5 menit	▢FF5CFEFEกล่องของเรือนเก่าที่เลิกใช้จะรีเฟรชทุกๆ5นาที	▢FF5CFEFEChests in the Mansion refills every 5 minutes	▢FF5CFEFEChests in the Mansion refills every 5 minutes	▢FF5CFEFE放棄された巨大な家の箱は5分ごとに更新されます.	▢FF5CFEFEChests w Mansion uzupełnia co 5 minut
109	B-District		▢FF5CFEFE黑市有人收购抢劫的赃物，并且出售基本的武器	▢FF5CFEFEA businessman buys and sells criminals’ items in the black market	▢FF5CFEFEHomem de negócios da ▢FF5CFEFEA compra e vende itens de criminosos no mercado negro	▢FF5CFEFEБизнесмен покупает и продает предметы преступников на черном рынке	▢FF5CFEFEA businessman buys and sells criminals’ items in the black market	▢FF5CFEFEA businessman buys and sells criminals’ items in the black market	▢FF5CFEFEA businessman buys and sells criminals’ items in the black market	▢FF5CFEFEA businessman buys and sells criminals’ items in the black market	▢FF5CFEFEA businessman buys and sells criminals’ items in the black market	▢FF5CFEFESeorang pengusaha membeli dan menjual barang-barang kriminal di pasar gelap	▢FF5CFEFEตลาดมืดมีคนรับซื้อของโจรที่ปล้นมาและขายอาวุธพื้นฐาน	▢FF5CFEFEA businessman buys and sells criminals’ items in the black market	▢FF5CFEFEA businessman buys and sells criminals’ items in the black market	▢FF5CFEFE闇市場は盗まれた盗品を買い、基本的な武器を売った.	▢FF5CFEFE Biznesmen kupuje i sprzedaje przedmioty przestępców na czarnym rynku
110	C-District		▢FF5CFEFE天使和恶魔旅店的商人出售高级物品	▢FF5CFEFEWelcome to Angel&Devil Inn! You can get mighty weapons and potions here 	▢FF5CFEFEBem vindo ao Anjo & Diabo! Você pode obter armas e poções poderosas aqui	▢FF5CFEFEДобро пожаловать в гостинницу Ангела&Демона! Тут вы можете получить могучие оружия и зелья	▢FF5CFEFEWelcome to Angel&Devil Inn! You can get mighty weapons and potions here 	▢FF5CFEFEWelcome to Angel&Devil Inn! You can get mighty weapons and potions here 	▢FF5CFEFEWelcome to Angel&Devil Inn! You can get mighty weapons and potions here 	▢FF5CFEFEWelcome to Angel&Devil Inn! You can get mighty weapons and potions here 	▢FF5CFEFEWelcome to Angel&Devil Inn! You can get mighty weapons and potions here 	▢FF5CFEFESelamat datang di Angel dan Devil Inn!Anda bisa mendapatkan senjata-senjata dan ramuan kuat disini 	▢FF5CFEFEพ่อค้าของโฮเต็ลนางฟ้าและมารร้ายขายสิ่งของเกรดสูง	▢FF5CFEFEWelcome to Angel&Devil Inn! You can get mighty weapons and potions here 	▢FF5CFEFEWelcome to Angel&Devil Inn! You can get mighty weapons and potions here 	▢FF5CFEFE天使と悪魔の商人は高級品を販売しています	▢FF5CFEFewitamy do Angel & Devil Inn! Możesz tu zdobyć potężną broń i mikstury
111	Police		▢FF5CFEFE警察局大厅的两侧有快速增援传送通道	▢FF5CFEFEThere are Portals on both sides of the police station hall	▢FF5CFEFESão portais em ambos os lados do corredor da delegacia de polícia	▢FF5CFEFEМожно найти порталы по обе стороны зала полийской станции	▢FF5CFEFEThere are Portals on both sides of the police station hall	▢FF5CFEFEThere are Portals on both sides of the police station hall	▢FF5CFEFEThere are Portals on both sides of the police station hall	▢FF5CFEFEThere are Portals on both sides of the police station hall	▢FF5CFEFEThere are Portals on both sides of the police station hall	▢FF5CFEFETerdapat portal-portal di kedua sisi ruang kantor polisi	▢FF5CFEFEสองข้างของห้องโถงของสถาณีตำรวจมีทางสัญจรรับส่งเพื่อเพิ่มการสนับสนุนโดยรวดเร็ว	▢FF5CFEFEThere are Portals on both sides of the police station hall	▢FF5CFEFEThere are Portals on both sides of the police station hall	▢FF5CFEFE警察署のホールの両側には、高速の増援送信チャンネルがあります.	▢FF5CFEFJest tu portale po obu stronach sali komisariatu policji
112	112		▢FF5CFEFE购物中心的保险库门每隔差不多5分钟会消失	▢FF5CFEFEDoors of the vault in the Great Mall will be removed about every 5 minutes	▢FF5CFEFEDoors do cofre no Great Mall serão removidos a cada 5 minutos	▢FF5CFEFEДвери хранилищ торгового центра исчезают каждые 5 минут	▢FF5CFEFEDoors of the vault in the Great Mall will be removed about every 5 minutes	▢FF5CFEFEDoors of the vault in the Great Mall will be removed about every 5 minutes	▢FF5CFEFEDoors of the vault in the Great Mall will be removed about every 5 minutes	▢FF5CFEFEDoors of the vault in the Great Mall will be removed about every 5 minutes	▢FF5CFEFEDoors of the vault in the Great Mall will be removed about every 5 minutes	▢FF5CFEFEPintu di kubah dalam Mall Besar akan di hilangkan setiap 5 menit 	▢FF5CFEFEประตูคลังเซฟของศูนย์ช็อปปิ้งจะหายไปเกือบทุกๆ5นาที	▢FF5CFEFEDoors of the vault in the Great Mall will be removed about every 5 minutes	▢FF5CFEFEDoors of the vault in the Great Mall will be removed about every 5 minutes	▢FF5CFEFEショッピングセンターの金庫室のドアは5分ごとに消えます.	▢FF5CFEFEDoory skarbca w Great Mall zostaną usunięte co około 5 minut
113	113		▢FF5CFEFE在禁闭室请等待钥匙生成	▢FF5CFEFEPlease wait patiently for keys dropping	▢FF5CFEFEPor favor	▢FF5CFEFEПожалуйста, будьте терпеливыми, подождите пока упадут ключи	▢FF5CFEFEPlease wait patiently for keys dropping	▢FF5CFEFEPlease wait patiently for keys dropping	▢FF5CFEFEPlease wait patiently for keys dropping	▢FF5CFEFEPlease wait patiently for keys dropping	▢FF5CFEFEPlease wait patiently for keys dropping	▢FF5CFEFEMohon menunggu dengan sabar untuk penjatuhan kunci	▢FF5CFEFEโปรดรอสร้างเป็นกุญแจขึ้นที่ห้องกักขัง	▢FF5CFEFEPlease wait patiently for keys dropping	▢FF5CFEFEPlease wait patiently for keys dropping	▢FF5CFEFE拘束室で鍵生成を待ってください	▢FF5CFEFPoczekaj cierpliwie na upuszczenie kluczy
114	114		▢FF5CFEFE开车时也会受到伤害。不过车越贵，受到的伤害越少	▢FF5CFEFEYou’re not safe in a car. But expensive cars reduce more damage.	▢FF5CFEFEVocê não está seguro em um carro. Mas carros caros reduzem mais danos.	▢FF5CFEFEВы не в безопасности в машине. Но дорогие автомобили уменьшают больше урона.	▢FF5CFEFEYou’re not safe in a car. But expensive cars reduce more damage.	▢FF5CFEFEYou’re not safe in a car. But expensive cars reduce more damage.	▢FF5CFEFEYou’re not safe in a car. But expensive cars reduce more damage.	▢FF5CFEFEYou’re not safe in a car. But expensive cars reduce more damage.	▢FF5CFEFEYou’re not safe in a car. But expensive cars reduce more damage.	▢FF5CFEFEAnda tidak aman di dalam mobil.Tetapi mobil mahal dapat mengurangi lebih banyak kerusakan.	▢FF5CFEFEเมื่อขับรถก็เป็นอันตรายได้ แต่ว่ารถยิ่งแพง ความอันตรายที่ได้รับจะยิ่งน้อย	▢FF5CFEFEYou’re not safe in a car. But expensive cars reduce more damage.	▢FF5CFEFEYou’re not safe in a car. But expensive cars reduce more damage.	▢FF5CFEFE運転中にも怪我をする可能性があります. しかし、車が高価であればあるほど、受けるダメージは少なくなります.	▢FF5CFEFENie jesteś bezpieczny w samochodzie. Ale drogie samochody zmniejszają więcej obrażeń.
115	115		TheRingStrasse_E_2	TheRingStrasse_E_2	A estrada do anel_E_2	Кольцо Страссе_В_2	TheRingStrasse_E_2	TheRingStrasse_E_2	TheRingStrasse_E_2	TheRingStrasse_E_2	TheRingStrasse_E_2	Cincin Strasse_E_2	ถนนวงแหวน_E_2	TheRingStrasse_E_2	TheRingStrasse_E_2	TheRingStrasse_E_2	TheRingStrasse_E_2
116	116		TheRingStrasse_W_1	TheRingStrasse_W_1	A estrada do anel_W_1	Кольцо Страссе_З_1	TheRingStrasse_W_1	TheRingStrasse_W_1	TheRingStrasse_W_1	TheRingStrasse_W_1	TheRingStrasse_W_1	Cincin Strasse_W_1	ถนนวงแหวน_W_1	TheRingStrasse_W_1	TheRingStrasse_W_1	TheRingStrasse_W_1	TheRingStrasse_W_1
117	117		TheRingStrasse_W_2	TheRingStrasse_W_2	A estrada do anel_W_2	Кольцо Страссе_З_2	TheRingStrasse_W_2	TheRingStrasse_W_2	TheRingStrasse_W_2	TheRingStrasse_W_2	TheRingStrasse_W_2	Cincin Strasse_W_2	ถนนวงแหวน_W_2	TheRingStrasse_W_2	TheRingStrasse_W_2	TheRingStrasse_W_2	TheRingStrasse_W_2
118	118		TheRingStrasse_S_1	TheRingStrasse_S_1	A estrada do anel_S_1	Кольцо Страссе_Ю_1	TheRingStrasse_S_1	TheRingStrasse_S_1	TheRingStrasse_S_1	TheRingStrasse_S_1	TheRingStrasse_S_1	Cincin Strasse_S_1	ถนนวงแหวน_S_1	TheRingStrasse_S_1	TheRingStrasse_S_1	TheRingStrasse_S_1	TheRingStrasse_S_1
119	119		TheRingStrasse_S_2	TheRingStrasse_S_2	A estrada do anel_S_2	Кольцо Страссе_Ю_2	TheRingStrasse_S_2	TheRingStrasse_S_2	TheRingStrasse_S_2	TheRingStrasse_S_2	TheRingStrasse_S_2	Cincin Strasse_S_2	ถนนวงแหวน_S_2	TheRingStrasse_S_2	TheRingStrasse_S_2	TheRingStrasse_S_2	TheRingStrasse_S_2
120	120		CentralStreet_1	CentralStreet_1	Rua central_1	Центральная Улица_1	CentralStreet_1	CentralStreet_1	CentralStreet_1	CentralStreet_1	CentralStreet_1	Pusat Kota_1	ถนนศูนย์กลาง_1	CentralStreet_1	CentralStreet_1	CentralStreet_1	CentralStreet_1
121	121		CentralStreet_2	CentralStreet_2	Rua Central_2	Центральная Улица_2	CentralStreet_2	CentralStreet_2	CentralStreet_2	CentralStreet_2	CentralStreet_2	Pusat Kota_2	ถนนศูนย์กลาง_2	CentralStreet_2	CentralStreet_2	CentralStreet_2	CentralStreet_2
122	122		CentralStreet_3	CentralStreet_3	Rua Central_3	Центральная Улица_3	CentralStreet_3	CentralStreet_3	CentralStreet_3	CentralStreet_3	CentralStreet_3	Pusat Kota_3	ถนนศูนย์กลาง_3	CentralStreet_3	CentralStreet_3	CentralStreet_3	CentralStreet_3
123	123		CentralStreet_4	CentralStreet_4	Rua Central_4	Центральная Улица_4	CentralStreet_4	CentralStreet_4	CentralStreet_4	CentralStreet_4	CentralStreet_4	Pusat Kota_4	ถนนศูนย์กลาง_4	CentralStreet_4	CentralStreet_4	CentralStreet_4	CentralStreet_4
124	124		Central-District	Central-District	Distrito Central	Центральный Округ	Central-District	Central-District	Central-District	Central-District	Central-District	Distrik Pusat	บริเวณศูนยฺกลาง	Central-District	Central-District	Central-District	Central District
125	125		▢FF5CFEFE监狱东北角和东南角可能存在越狱漏洞	▢FF5CFEFEThere may be Weak Points  in the northeast and southeast corners of the prison	▢FF5CFEFEPode ser pontos fracos nos cantos nordeste e sudeste da prisão	▢FF5CFEFEВ северо-восточном и юго-восточном углах тюрьмы могут быть слабые места	▢FF5CFEFEThere may be Weak Points  in the northeast and southeast corners of the prison	▢FF5CFEFEThere may be Weak Points  in the northeast and southeast corners of the prison	▢FF5CFEFEThere may be Weak Points  in the northeast and southeast corners of the prison	▢FF5CFEFEThere may be Weak Points  in the northeast and southeast corners of the prison	▢FF5CFEFEThere may be Weak Points  in the northeast and southeast corners of the prison	▢FF5CFEFETerdapat beberapa Titik Lemah di paling utara dan selatan penjara	▢FF5CFEFEมุมตะวันออกเฉียงเหนือและมุมตะวันออกเฉียงใต้ของคุุกขังอาจจะมีทางแหกคุก	▢FF5CFEFEThere may be Weak Points  in the northeast and southeast corners of the prison	▢FF5CFEFEThere may be Weak Points  in the northeast and southeast corners of the prison	▢FF5CFEFE刑務所の北東と南東の角に脱獄の輪があるかもしれません.	▢FF5CFEFNie mogą być słabe punkty w północno-wschodnich i południowo-wschodnich narożnikach więzienia
126	126		Manhattan’s_BreadCheat	Manhattan’s_BreadCheat	Manhattan's_Caixa do pão	ХлебныйЧит_Манхаттана	Manhattan’s_BreadCheat	Manhattan’s_BreadCheat	Manhattan’s_BreadCheat	Manhattan’s_BreadCheat	Manhattan’s_BreadCheat	Manhattan’s_BreadCheat	Manhattan’s_BreadCheat	Manhattan’s_BreadCheat	Manhattan’s_BreadCheat	Manhattan’s_BreadCheat	Manhattan's_BreadCheat
127	JailBreakPoliceChest		警察局箱子	Chest in Ploice Station	Baú na estação de Ploice	Сундук в Полицейской Станции	Chest in Ploice Station	Chest in Ploice Station	Chest in Ploice Station	Chest in Ploice Station	Chest in Ploice Station	Peti dalam Kantor Polisi	กล่องสถานีตำรวจ	Chest in Ploice Station	Chest in Ploice Station	警察署ボックス	Skrzynia na stacji Ploice
